Date,Open,High,Low,Close,Adj Close,Volume,Price Return,Total Return,Source,Quality Flag,Source Notes
2015-01-05,,,,3495.4806558045,3495.4806558045,,-0.0538377725,-0.0538377725,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-06,,,,3400.782364844,3400.782364844,,-0.0270916364,-0.0270916364,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-07,,,,3526.2109726315,3526.2109726315,,0.0368822801,0.0368822801,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-08,,,,3712.254959482,3712.254959482,,0.0527603108,0.0527603108,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-09,,,,3621.1880825604,3621.1880825604,,-0.0245314177,-0.0245314177,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-12,,,,3533.7519429326,3533.7519429326,,-0.0241457051,-0.0241457051,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-13,,,,3504.7002922487,3504.7002922487,,-0.0082211913,-0.0082211913,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-14,,,,3443.2440574377,3443.2440574377,,-0.0175353753,-0.0175353753,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-15,,,,3349.1027276687,3349.1027276687,,-0.0273408821,-0.0273408821,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-16,,,,3473.9713289119,3473.9713289119,,0.0372841956,0.0372841956,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-20,,,,3501.627531264,3501.627531264,,0.007960976,0.007960976,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-21,,,,3553.0276727258,3553.0276727258,,0.0146789289,0.0146789289,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-22,,,,3713.3732807081,3713.3732807081,,0.0451292877,0.0451292877,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
